Year,Month,CPC,HS Code,HS Description,Destination,Quantity,Unit,Gross Wt. (Kg),Net.Wt. (Kg),FOB Value (ETB),FOB Value (USD),Total tax (ETB),Total tax (USD)
2013,01,1071 100,25231000,Cement clinkers,Djibouti,,,"4,500,000.00","4,500,000.00","7,287,935.43","387,654.08",0.00,0.00
2013,01,1071 100,06021000,UNROOTED CUTTINGS AND SLIPS,Belgium,"6,938,326",UN,"25,167.00","23,505.00","7,214,828.64","383,765.44",0.00,0.00
2013,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Belgium,,,"601,320.00","600,000.00","7,179,276.00","381,874.35",0.00,0.00
2013,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Italy,,,"115,409.00","114,000.00","7,077,945.61","376,484.47",0.00,0.00
2013,01,1000 100,41120000,LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..,Italy,,,"13,739.00","13,391.80","7,059,922.31","375,525.78",0.00,0.00
2013,01,1000 100,62069000,"WOMEN'S OR GIRLS' BLOUSES, SHIRTS, ETC, OF OTHER TEXTILES, NES",Germany,"75,626",UN,"31,127.00","28,851.00","6,875,571.14","365,719.92",0.00,0.00
2013,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",France,,,"94,818.00","93,600.00","6,758,073.64","359,470.09",0.00,0.00
2013,01,1000 100,02042100,Fresh or chilled sheep carcasses and half carcasses (excl. lamb),Saudi Arabia,,,"71,855.00","71,316.00","6,733,568.12","358,166.61",0.00,0.00
2013,01,1000 100,41120000,LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..,United Kingdom,,,"7,586.00","7,271.00","6,643,628.82","353,382.63",0.00,0.00
2013,01,1000 100,12074000,Sesamum seeds,Japan,,,"203,846.80","203,300.00","6,315,754.39","335,942.60",0.00,0.00
2013,01,1071 100,06021000,UNROOTED CUTTINGS AND SLIPS,France,"4,049,700",UN,"25,268.00","19,452.00","6,255,406.48","332,732.62",0.00,0.00
2013,01,1000 100,52071000,"Cotton yarn (excl. sewing), put up for retail sale, with >=85% cotton",China,,,"139,302.90","134,597.50","6,149,854.20","327,118.16",0.00,0.00
