Year,Month,CPC,HS Code,HS Description,Destination,Quantity,Unit,Gross Wt. (Kg),Net.Wt. (Kg),FOB Value (ETB),FOB Value (USD),Total tax (ETB),Total tax (USD)
2009,01,1000 100,13012000,Natural gum arabic,United Arab Emirates,,,"32,000.00","32,000.00","1,725,195.72","145,305.34",0.00,0.00
2009,01,1000 100,12074000,Sesamum seeds,Tunisia,,,"125,250.00","125,000.00","1,650,828.12","139,041.69",0.00,0.00
2009,01,1071 100,12074000,Sesamum seeds,Tunisia,,,"124,248.00","124,000.00","1,638,613.50","138,012.91",0.00,0.00
2009,01,1071 100,06021000,UNROOTED CUTTINGS AND SLIPS,Belgium,"2,636,650",UN,"8,150.00","6,810.00","1,630,698.17","137,346.24",0.00,0.00
2009,01,1000 100,13019000,"NATURAL GUMS,RESINS,GUM-RESINS,NATURAL OLEOR'INS/BALSAMS (EXCL. GUMARABIC)",Tunisia,,,"34,063.00","33,961.00","1,615,614.76","136,075.83",0.00,0.00
2009,01,1000 100,44072900,OTHER TROPICAL WOOD SPEC'D IN SUBHDG.NOTE 1 TO CH44 SAWN LENGTHWSE>6MM NES,Sudan,"2,049",M3,"717,150.00","717,150.00","1,542,694.19","129,934.07",0.00,0.00
2009,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Israel,,,"72,960.00","72,000.00","1,510,252.76","127,201.67",0.00,0.00
2009,01,1000 505,64039900,"FOOTWEAR WITH RUBBER... SOLES, LEATHER UPPERS, NOT COVERING THE ANKLE",Germany,"9,190",2UN,"10,186.00","9,190.00","1,500,567.84","126,385.96",0.00,0.00
2009,01,1000 100,07011000,Seed potatoes,Djibouti,,,"653,900.00","639,799.00","1,484,200.02","125,007.37",0.00,0.00
2009,01,1000 505,41022100,"Pickled skins of sheep or lambs, without wool, not tanned",Pakistan,,,"29,165.85","28,624.72","1,469,997.14","123,811.13","146,999.71","12,381.11"
2009,01,1000 100,19059020,---Fresh Injera,United Arab Emirates,,,"62,830.00","59,430.00","1,444,609.31","121,672.83",0.00,0.00
2009,01,1000 100,07099020,---Fresh chat,China,,,"4,500.51","3,874.26","1,442,939.77","121,532.21",0.00,0.00
2009,01,1000 100,41022100,"Pickled skins of sheep or lambs, without wool, not tanned",Japan,,,"11,845.00","11,693.00","1,437,822.10","121,101.17","143,782.21","12,110.12"
2009,01,1000 100,13019000,"NATURAL GUMS,RESINS,GUM-RESINS,NATURAL OLEOR'INS/BALSAMS (EXCL. GUMARABIC)",United Arab Emirates,,,"32,256.00","32,000.00","1,431,405.92","120,560.77",0.00,0.00
2009,01,1000 505,41022100,"Pickled skins of sheep or lambs, without wool, not tanned",Turkey,,,"17,160.00","16,874.00","1,427,767.40","120,254.31","142,776.74","12,025.43"
2009,01,1000 100,12074000,Sesamum seeds,Djibouti,,,"114,228.00","114,000.00","1,375,482.96","115,850.63",0.00,0.00
2009,01,1000 100,07020000,Tomatoes fresh or chilled,United Arab Emirates,,,"116,000.00","102,195.00","1,371,879.04","115,547.09",0.00,0.00
2009,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",South Africa,,,"239,715.00","239,236.00","1,351,933.77","113,867.19",0.00,0.00
2009,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Greece,,,"38,880.00","38,400.00","1,337,703.52","112,668.64",0.00,0.00
2009,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Canada,,,"36,480.00","36,000.00","1,325,666.33","111,654.80",0.00,0.00
2009,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Pakistan,,,"240,480.00","240,000.00","1,301,106.00","109,586.20",0.00,0.00
2009,01,1000 100,52030000,"Cotton, carded or combed",Turkey,,,"97,712.00","96,756.00","1,278,594.25","107,690.14",0.00,0.00
2009,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Netherlands,,,"226,728.00","226,000.00","1,271,711.24","107,110.41",0.00,0.00
2009,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Australia,,,"36,480.00","36,000.00","1,232,626.39","103,818.48",0.00,0.00
2009,01,1000 100,09092000,Seeds of coriander,Yemen,,,"100,000.00","99,800.00","1,220,029.05","102,757.46",0.00,0.00
2009,01,1000 100,07099020,---Fresh chat,Israel,,,"3,829.00","3,254.65","1,200,343.53","101,099.44",0.00,0.00
2009,01,1071 100,09101000,Ginger,Sudan,,,"187,494.95","185,000.00","1,189,389.70","100,176.85",0.00,0.00
2009,01,1000 505,63039100,Curtains and interior blinds; curtain or bed valances of cotton,Germany,,M2,"19,522.87","17,553.45","1,170,698.65","98,602.59",0.00,0.00
2009,01,1071 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Yemen,,,"198,176.00","197,780.00","1,157,916.82","97,526.03",0.00,0.00
2009,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Australia,,,"54,705.00","54,000.00","1,151,202.31","96,960.50",0.00,0.00
2009,01,1000 505,63031900,"Curtains, etc; valances of textile materials, knitted or crocheted",Germany,,M2,"23,760.00","22,800.00","1,133,525.83","95,471.69",0.00,0.00
2009,01,1071 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Romania,,,"54,720.00","54,000.00","1,089,266.27","91,743.91",0.00,0.00
2009,01,1000 100,07133200,"Dried adzuki beans, shelled",Djibouti,,,"236,475.00","233,269.00","1,069,236.72","90,056.91",0.00,0.00
2009,01,1000 100,07020000,Tomatoes fresh or chilled,Djibouti,,,"501,060.00","411,240.00","1,067,193.73","89,884.84",0.00,0.00
2009,01,1000 100,07129010,---Mixture of Vegetables,United Kingdom,,,"3,175.00","2,820.50","1,045,323.35","88,042.80",0.00,0.00
2009,01,1000 100,02089000,"Fresh, chilled or frozen meat and edible offal, nes",Saudi Arabia,,,"27,830.00","27,830.00","1,018,767.95","85,806.16",0.00,0.00
2009,01,1000 100,41120000,LEATHER PREPARED AFTER TANNING/CRUSTING INCLU.PARCHMENT DRESSED LEATHER..,Indonesia,,,"2,729.70","2,588.70","1,014,883.20","85,478.96",0.00,0.00
2009,01,1071 100,12074000,Sesamum seeds,Turkey,,,"76,152.00","76,000.00","1,006,062.93","84,736.07",0.00,0.00
2009,01,1000 100,41053000,TANNED/CRUST SKINS OF SHEEP/LAMPS..IN THE DRY STATE(CRUST),Hong Kong,,,"3,732.00","3,562.00","963,288.65","81,133.39",0.00,0.00
2009,01,1000 100,15219090,"--- OTHER BEESWAX , INSECT WAXES",Germany,,,"19,200.00","19,000.00","951,050.70","80,102.65",0.00,0.00
2009,01,1000 100,63041900,Bedspreads (excl. knitted or crocheted),Italy,,M2,"19,200.00","18,600.00","927,494.94","78,118.65",0.00,0.00
2009,01,1000 100,15219020,---Bee Wax,Germany,,,"18,036.00","17,989.00","884,310.54","74,481.43",0.00,0.00
2009,01,1000 505,41022100,"Pickled skins of sheep or lambs, without wool, not tanned",Indonesia,,,"17,820.00","17,442.00","880,791.72","74,185.05","88,079.17","7,418.51"
2009,01,1000 100,09011200,"Decaffeinated coffee, not roasted",Sudan,,,"40,581.00","40,080.00","868,087.30","73,115.02",0.00,0.00
2009,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED","Korea, Republic of",,,"18,591.00","18,360.00","825,511.47","69,529.05",0.00,0.00
2009,01,1000 100,13019000,"NATURAL GUMS,RESINS,GUM-RESINS,NATURAL OLEOR'INS/BALSAMS (EXCL. GUMARABIC)",China,,,"30,480.00","30,000.00","820,906.92","69,141.23",0.00,0.00
2009,01,1000 100,07134000,"Dried lentils, shelled",Djibouti,,,"55,251.00","54,605.00","814,540.11","68,604.98",0.00,0.00
2009,01,1000 100,52121300,"Dyed woven fabrics of cotton, =<200g/m2, nes",Italy,,M,"12,174.00","11,197.00","812,453.94","68,429.28",0.00,0.00
2009,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Czech Republic,,,"136,202.40","136,000.00","801,913.57","67,541.51",0.00,0.00
2009,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Jordan,,,"36,540.00","36,000.00","780,160.68","65,709.36",0.00,0.00
2009,01,1071 100,01029010,---OX,Sudan,172,UN,"34,400.00","34,400.00","724,056.72","60,983.98",0.00,0.00
2009,01,1000 100,07081000,"Peas, fresh or chilled",India,,,"133,056.00","132,000.00","689,134.74","58,042.66",0.00,0.00
2009,01,1071 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Belgium,,,"110,000.00","109,780.00","684,585.44","57,659.50",0.00,0.00
2009,01,1000 100,08051000,"Oranges, fresh or dried",Djibouti,,,"242,945.00","209,679.00","677,428.57","57,056.71",0.00,0.00
2009,01,1000 100,07129010,---Mixture of Vegetables,United States,,,"2,056.91","1,818.03","673,502.03","56,725.99",0.00,0.00
2009,01,1000 100,09011100,"COFFEE, NOT ROASTED OR DECAFFEINATED",Cyprus,,,"18,240.00","18,000.00","646,051.49","54,413.96",0.00,0.00
2009,01,1000 100,07082000,"Beans, fresh or chilled",Djibouti,,,"73,825.00","72,787.00","643,887.91","54,231.73",0.00,0.00
2009,01,1071 100,06031100,--Roses,United Arab Emirates,"378,400",,"24,727.00","23,140.00","632,327.17","53,258.02",0.00,0.00
2009,01,1000 100,06031100,--Roses,United Arab Emirates,"471,681",,"26,486.00","23,855.00","618,036.26","52,054.36",0.00,0.00
2009,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Germany,,,"88,000.00","87,824.00","614,004.32","51,714.77",0.00,0.00
2009,01,1000 506,55032000,"Synthetic staple fibres, of polyesters, not carded, etc",United States,,,"3,512.00","3,192.00","612,024.71","51,548.04",0.00,0.00
2009,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",Egypt,,,"92,000.00","92,000.00","607,746.28","51,187.69",0.00,0.00
2009,01,1000 100,07133300,"Dried kidney beans, incl. white pea beans, shelled",France,,,"115,234.60","115,000.00","599,377.73","50,482.84",0.00,0.00
2009,01,1000 100,07129010,---Mixture of Vegetables,Kenya,,,"1,908.00","1,696.00","596,846.99","50,269.69",0.00,0.00
2009,01,1000 100,05119990,"---OTHER ANIMAL PRODUCTS ,DEAD ANIMAL OF CHAP .1",United States,,,58.00,58.00,"591,079.06","49,783.88",0.00,0.00
2009,01,1000 100,07082000,"Beans, fresh or chilled",Netherlands,,,"30,816.00","26,880.00","588,055.10","49,529.19",0.00,0.00
2009,01,1000 100,09101000,Ginger,India,,,"96,000.00","95,904.00","584,240.05","49,207.86",0.00,0.00
2009,01,1000 100,13019000,"NATURAL GUMS,RESINS,GUM-RESINS,NATURAL OLEOR'INS/BALSAMS (EXCL. GUMARABIC)",Germany,,,"16,320.00","16,000.00","582,500.67","49,061.36",0.00,0.00
2009,01,1071 100,06031100,--Roses,Saudi Arabia,"439,240",,"24,805.80","23,006.00","576,039.77","48,517.19",0.00,0.00
2009,01,1000 100,12079900,"Other oil seeds and oleaginous fruits, nes",India,,,"78,156.00","78,000.00","567,133.47","47,767.06",0.00,0.00
2009,01,1000 505,63031900,"Curtains, etc; valances of textile materials, knitted or crocheted",France,,M2,"11,880.00","11,400.00","557,430.45","46,949.81",0.00,0.00
2009,01,1000 100,64061000,UPPERS AND PARTS THEREOF (EXCL. STIFFENERS),Germany,,2UN,650.00,601.20,"544,942.92","45,898.05",0.00,0.00
